x AB AC AD BC BD CD
1.4 0.0744029711288 0.0673822192475 0.0264068191997 0.209067772119 0.203530748983 0.132450620908 
1.5 0.0761578895645 0.0655361242063 0.0269576381904 0.215886351156 0.202671087401 0.134944857017 
1.6 0.0775483195005 0.0640734546272 0.0273940546063 0.221288742642 0.201989973582 0.136921051741 
1.7 0.0786236905745 0.0629422127605 0.0277315830051 0.225467001023 0.201463194001 0.138449458593 
1.8 0.0794359559819 0.0620877461881 0.0279865300174 0.228622985807 0.201065298947 0.13960391778 
1.9 0.0800353958711 0.0614571624616 0.0281746771518 0.230952056024 0.200771658267 0.14045589163 
2.0 0.0804677613507 0.0610023334784 0.0283103843802 0.232631973527 0.200559860394 0.141070405427 
2.1 0.0807726499809 0.0606816043909 0.0284060802508 0.233816591103 0.20041050813 0.141503738518 
2.2 0.08098289478 0.0604604363451 0.0284720701143 0.234633478515 0.200307517943 0.141802555921 
2.3 0.0811247016289 0.0603112619361 0.0285165792515 0.235184456376 0.200238052664 0.142004103615 
2.4 0.0812182721136 0.0602128300066 0.0285459483657 0.235548016148 0.200192216373 0.142137093774 
2.5 0.081278683925 0.0601492795057 0.0285649099153 0.235782740852 0.200162623138 0.142222956067 
2.6 0.0813168527795 0.0601091275924 0.0285768900333 0.235931042532 0.200143925804 0.142277204819 
2.7 0.0813404551917 0.0600842989193 0.0285842981593 0.236022747599 0.200132363963 0.142310750531 
2.8 0.0813547412747 0.0600692706044 0.0285887821545 0.2360782549 0.200125365805 0.142331055101 
2.9 0.0813632062104 0.0600603658738 0.0285914390571 0.236111144653 0.200121219185 0.142343086172 
3.0 0.0813681167306 0.0600552002281 0.0285929803297 0.236130224041 0.200118813725 0.142350065412 
3.1 0.0813709058065 0.0600522662459 0.0285938557413 0.236141060747 0.200117447473 0.142354029479 
3.2 0.0813724569587 0.0600506345038 0.0285943426039 0.23614708761 0.200116687628 0.142356234106 
3.3 0.0813733017294 0.0600497458431 0.0285946077534 0.236150369891 0.20011627381 0.142357434764 
3.4 0.0813737522766 0.0600492718878 0.0285947491673 0.236152120452 0.200116053105 0.142358075119 
3.5 0.0813739876095 0.0600490243282 0.0285948230317 0.236153034817 0.200115937826 0.142358409594 
3.6 0.081374107999 0.0600488976839 0.0285948608185 0.23615350258 0.200115878852 0.142358580701 
3.7 0.0813741683212 0.0600488342276 0.0285948797519 0.236153736956 0.200115849303 0.142358666436 
3.8 0.0813741979265 0.0600488030842 0.0285948890442 0.236153851985 0.2001158348 0.142358708514 
3.9 0.0813742121589 0.0600487881123 0.0285948935113 0.236153907284 0.200115827828 0.142358728742 
4.0 0.0813742188612 0.0600487810618 0.028594895615 0.236153933325 0.200115824545 0.142358738268 
